elevation,plant_phylo_diversity,plant_species_richness,pollinator_phylo_diversity,pollinator_family_richness,floral_all_traits,floral_display_no_color,floral_morphology,floral_nectary,floral_pollen,floral_color_only,floral_all_traits_weighted,floral_display_weighted,floral_morphology_weighted,floral_nectary_weighted,floral_pollen_weighted,floral_color_weighted,pollinator_all_traits,pollinator_morphology,pollinator_pollen,pollinator_all_traits_weighted,pollinator_morphology_weighted,pollinator_pollen_weighted,linkage_density,h2,modularityQ,weighted_NODF,elevation2
1179,1768.314861,34,4725.028602,16,0.809973188262888,0.771388648549357,0.569489853304853,0.2660322638902,0.533755013234849,0.931138748466268,0.720587762138509,0.566013121230809,0.256859150478744,0.0995566099106902,0.314624103108669,0.604720819731469,0.97529671891708,0.979981584278923,0.953068375330468,0.966409350140582,0.965192138724416,0.931769738026001,5.97216220570537,0.361363490395086,0.463792369460225,13.1633957440409,1390041
1181,2252.0548445,44,5281.076102,17,0.825831346038729,0.810532596032143,0.610535025888779,0.316460667021013,0.520772443986834,0.935388021935086,0.793784962233158,0.657493155606145,0.467018910506269,0.30820505819048,0.333101194287593,0.786942389646382,0.946857579555612,0.825608605907048,0.965171672653685,0.935825430069714,0.83984676569421,0.960991384312205,5.40102179628692,0.442002538166386,0.487214314865831,13.2872798497799,1394761
1184,1932.295261,35,6674.038612,22,0.768978538244705,0.726096010685224,0.578286894382084,0.325945502465354,0.494538313155654,0.943067315842715,0.703325226892424,0.570791361764039,0.406889499734077,0.281881535401744,0.188189100175233,0.708776287189871,0.949225510101124,0.871077302688909,0.951413450522062,0.945670367693148,0.876817325377683,0.95983838711042,5.88404684464199,0.474996342811845,0.522587123209866,20.1059535822402,1401856
1460,2328.911984,51,7762.543787,27,0.823788802963897,0.753537532222129,0.603972370799488,0.282274590740487,0.51414468726693,0.961513997383737,0.799883852625236,0.707110420090388,0.571770993085228,0.237745373405012,0.449561967135192,0.917619733067693,0.992952203902722,0.993226704574849,0.989544228583753,0.978901226860633,0.839110997345872,0.9125285012996,7.64743842765841,0.2893735101544,0.364724859360078,16.3525121411027,2131600
1463,2199.2977025,45,6469.604692,21,0.749492782525345,0.68056901864141,0.55323007673814,0.248001947294374,0.507149920698735,0.970223026606497,0.791582819630841,0.682063576842567,0.447323400841438,0.14134434720623,0.466970795347218,0.953506257166443,0.991082527374223,0.994989421407749,0.98622327702201,0.988296265420772,0.942549615184183,0.952678856343962,6.1691311130425,0.328170891456927,0.387772839506173,14.136548490386,2140369
1467,1188.039736,16,4791.801557,13,0.738028200448886,0.730895718896622,0.494889619274528,0.222766445357994,0.460790192248338,0.905690646731822,0.738672559646797,0.669471195971256,0.570488486418859,0.294471450738157,0.487146528991712,0.923740825433969,0.97771419540795,0.918304458391951,0.982798329195213,0.96776402115194,0.814910517209919,0.943787332894239,5.32734659563537,0.358525349729236,0.458311111111111,14.8623699227929,2152089
1628,1350.6298115,21,4281.240967,12,0.702184279511828,0.686399921585214,0.476922936533281,0.234270040835466,0.385457009840982,0.94548760615868,0.707203660416758,0.704167855217814,0.400321334068764,0.111189333188635,0.225739714142831,0.889772416259513,0.950590938347364,0.897296244078417,0.945568280813774,0.880730971831773,0.415785306629536,0.834419942332507,4.29215060134307,0.244072940273784,0.225345781763108,34.4187412021807,2650384
1632,1513.8291945,26,4316.463057,12,0.71262003942796,0.612887824775142,0.552971065930475,0.263839846594106,0.40937328418815,0.904067134346181,0.751656194163334,0.614190237108629,0.583257011365973,0.405246725654088,0.42452764667873,0.893255506889382,0.968881273014897,0.949652979405366,0.953675718521855,0.917060286089718,0.594961890883521,0.888633090516234,4.44669591347265,0.305268173556216,0.33396449704142,28.1843275771847,2663424
1636,1858.026974,32,4085.706887,11,0.823692367218583,0.686885491999612,0.749780234174909,0.424048324466918,0.511986202749561,0.877915962765782,0.74946259640595,0.636359182243473,0.640506250742384,0.37705657129015,0.372882520636722,0.805848099031947,0.942579392750684,0.89534728632731,0.938845830587159,0.92703688136347,0.555428888798894,0.900949497568363,5.09512155945503,0.276409580826247,0.323260197134071,23.9163508540671,2676496
1856,1839.743268,30,4804.979712,15,0.880982402526843,0.772269800563721,0.775973820783683,0.401447261543425,0.583902601741955,0.928389941489543,0.814718380538828,0.691068743686941,0.556674476192622,0.218414452245658,0.514365808924639,0.768033479219324,0.962140633092013,0.903902144672502,0.961117222803522,0.848854580501057,0.459817515149156,0.866808956888887,4.84463778255821,0.306151869234527,0.286096117723051,22.4667492218998,3444736
1862,1472.4754225,22,3988.948037,11,0.811456100842995,0.798633209755219,0.64526397045392,0.290955842482422,0.49134248549458,0.937916289988241,0.795002752266878,0.796897755728099,0.510268642143041,0.229598627047166,0.529280952592753,0.782352137558718,0.97961668967689,0.918936033411252,0.95790624218331,0.769557711902789,0.395714142904293,0.818906584115419,3.55771801599184,0.242209790982066,0.195160498557249,33.8688586545729,3467044
1863,2184.3753725,36,5344.661502,16,0.829060098247981,0.82780382843209,0.671792910193754,0.366526909571307,0.480860753196558,0.932590185462205,0.798562749855215,0.80445475745552,0.269362670112257,0.110753920943256,0.241408225988935,0.675220417714523,0.966057541679216,0.830514482273306,0.964669580085035,0.844339854510027,0.44604694438321,0.87052419940631,3.60263170438068,0.441565398808711,0.447161217428148,16.3304263031039,3470769
2084,1922.934496,30,1812.851817,4,0.673414078801133,0.544914182852108,0.604921294793161,0.33701137562308,0.430688672348001,0.919220732426014,0.710882205792804,0.537698838595025,0.338510235572302,0.178409524075403,0.196071740466458,0.550073060933242,0.86055908732259,0.666063851462695,0.899620519430856,0.966409350140582,0.455931168272128,0.729365209366408,2.85646489041687,0.335262528824434,0.377142857142857,27.3611111111111,4343056
