Elevation,Transect,Name,Connectance,Linksperspecies,Compartments,Nestedness,Weighted NODF,ISA,SA,Linkage_Density,Shannon,H2,n.Elevation,plantpd,plantsr,insectpd,insectsr,bees,floralhyp,dis1fhyp,dis2fhyp,disnocolfhyp,morfhyp,rewfhyp,necfhyp,polfhyp,neccolfhyp,dmfhyp,sinfhyp,colfhyp,v.floralhyp,v.dis1fhyp,v.dis2fhyp,v.necfhyp,v.polfhyp,v.neccolfhyp,v.dmfhyp,v.sinfhyp,v.colfhyp,v.vocfhyp
1181,1,1181.1,0.0883838383838384,1.82291666666667,4,6.58393174040172,13.061918361796,0.0238917147678521,-0.117838628926362,7.10312686307529,4.72597767615163,0.36554796068492,1179,1768.314861,34,8394.587137,35,59,0.809973188262888,0.869989481248721,0.887830138183409,0.771388648549357,0.569489853304853,0.50151956038621,0.2660322638902,0.533755013234849,0.847063357004736,0.885870968108894,0.799456375524799,0.931138748466268,0.868151411525442,0.868151411525442,0.914333415288514,0.793017834898202,0.861805110165759,0.914795375740311,0.887085525459014,0.882820290272643,0.939607857654794,0.784488278017893
1181,2,1181.2,0.0887096774193548,1.98198198198198,1,8.41758854648148,10.6052672910995,0.0767936504510338,-0.168589796445073,7.08181339605229,4.85621372091209,0.417997505556226,1181,2252.0548445,44,10668.553242,48,91,0.825831346038729,0.873307832825528,0.89476090753411,0.810532596032143,0.610535025888779,0.53471201650843,0.316460667021013,0.520772443986834,0.847429358475365,0.891749359477461,0.814948121615233,0.935388021935086,0.868777547198432,0.868777547198432,0.903340108927341,0.56735801946415,0.606888772462226,0.811963393273235,0.888081469115271,0.852955696610584,0.848618760356897,0.480658704569847
1181,3,1181.3,0.0975896531452087,1.62745098039216,2,6.19808863900395,16.2176726654988,0.186922457307812,-0.242004444076754,8.68620213960988,4.63791625723764,0.495486105219028,1184,1932.295261,35,10367.240607,51,71,0.768978538244705,0.826969612280557,0.844078328620085,0.726096010685224,0.578286894382084,0.521735500695417,0.325945502465354,0.494538313155654,0.849924420455982,0.840760866129034,0.813369810337492,0.943067315842715,0.804692218221051,0.804692218221051,0.83770260112113,0.679276881575036,0.696888815039818,0.831649427200307,0.821431029630882,0.836329019400003,0.865217145323135,0.575943187294862
1463,1,1463.1,0.098661028893587,2.35294117647059,1,4.91993681320396,16.1277657715621,0.0359314046144275,-0.0920586108367934,9.23474417637235,5.01648708286689,0.297830164991425,1460,2328.911984,51,11047.823637,55,15,0.823788802963897,0.856740421125353,0.876833733748975,0.753537532222129,0.603972370799488,0.520477573187048,0.282274590740487,0.51414468726693,0.857879947026646,0.876064722911923,0.840224670013582,0.961513997383737,0.884831950632938,0.884831950632938,0.939836959629344,0.862382457271383,0.891085612892899,0.947474366377421,0.914388846625286,0.910538135091151,0.967233927666513,0.885273131283318
1463,2,1463.2,0.0901041666666667,1.8804347826087,1,4.88463558662062,15.1061472094583,0.074682744551235,-0.0110422960081014,3.60317997298716,2.52048058853675,0.525786063636947,1463,2199.2977025,45,9362.641807,40,12,0.749492782525345,0.816532371737501,0.841724393606968,0.68056901864141,0.55323007673814,0.474292953627344,0.248001947294374,0.507149920698735,0.88601752730547,0.840784043950414,0.795819042432675,0.970223026606497,0.836909861709158,0.836909861709158,0.905137129275875,0.843904443025596,0.907329687504768,0.95427750539857,0.860945308014881,0.893592229018799,0.973284295819467,0.921128811773436
1463,3,1463.3,0.118918918918919,1.26923076923077,2,8.28620522285395,16.8194264303214,0.221896416096297,-0.261522491911665,7.53839217801154,3.95418616550962,0.381245615219527,1467,1188.039736,16,6948.871682,25,7,0.738028200448886,0.782967532789229,0.777064071697701,0.730895718896622,0.494889619274528,0.421060596903201,0.222766445357994,0.460790192248338,0.794356965805878,0.773919013614296,0.729179031633657,0.905690646731822,0.770556211993872,0.770556211993872,0.845060611004249,0.58492827967516,0.66749260767446,0.778282870429882,0.792781831374042,0.76868448605341,0.81739640903122,0.609183910702871
1632,1,1632.1,0.132094943240454,1.72972972972973,1,9.75760878110295,21.2032465988705,0.130014940801066,-0.290888248709708,5.10244126199949,3.33230827640943,0.281791387384812,1628,1350.6298115,21,7643.305422,31,21,0.702184279511828,0.809578234803919,0.843156735094353,0.686399921585214,0.476922936533281,0.381131176421914,0.234270040835466,0.385457009840982,0.801644912713847,0.831469590961338,0.738065491916265,0.94548760615868,0.815947259567048,0.815947259567048,0.903128558194543,0.747242672251386,0.813881906691589,0.887643453589936,0.852834928551341,0.866928254023814,0.9077733313604,0.791118689425899
1632,2,1632.2,0.125541125541126,1.78461538461538,2,8.85353383743061,16.7559821191767,0.0161876451862075,-0.00397690440734483,4.82448015560591,3.67266833018956,0.331270169254299,1632,1513.8291945,26,6396.195992,26,20,0.71262003942796,0.764872470975265,0.771803372724599,0.612887824775142,0.552971065930475,0.455986646965389,0.263839846594106,0.40937328418815,0.813800153883625,0.770375304529684,0.797240081915327,0.904067134346181,0.825073511517076,0.825073511517076,0.883933396342661,0.939265811214046,0.95462689799938,0.968353813999611,0.859323776109793,0.917263740701079,0.984928962862258,0.980058782792894
1632,3,1632.3,0.102745098039216,1.72368421052632,1,6.10713229725057,13.412501431549,-0.0109081770718501,-0.0544048534081252,5.56348021056348,4.1052934882204,0.299711736851445,1636,1858.026974,32,7147.626262,30,21,0.823692367218583,0.818026643167281,0.807009899732469,0.686885491999612,0.749780234174909,0.672140796629352,0.424048324466918,0.511986202749561,0.801825341933716,0.828212260217193,0.903946892647937,0.877915962765782,0.889358566188972,0.889358566188972,0.888693408049117,0.933037002757004,0.916695651528019,0.940292183287765,0.900690142319154,0.952747434667024,0.948411938729483,0.838836789095649
1860,1,1860.1,0.114406779661017,1.95180722891566,1,7.89271695507968,14.2518106509048,0.0942564557255483,-0.136512559896322,6.20068497513871,4.2221841407512,0.351570378732107,1856,1839.743268,30,8139.016787,34,2,0.880982402526843,0.888691668577128,0.87621999029669,0.772269800563721,0.775973820783683,0.649454575019569,0.401447261543425,0.583902601741955,0.895507816001116,0.874616945573705,0.951645793789282,0.928389941489543,0.900638360643906,0.900638360643906,0.868832223134336,0.87934605305334,0.89688990716009,0.923196153022594,0.875505321317182,0.943008375263158,0.919903389034259,0.867130879562395
