Elevation,Transect,Name,Connectance,Linksperspecies,Compartments,Nestedness,ISA,Linkage_Density,Shannon,H2,n.Elevation,fhyp,vhyp,fFDis,fFDiv,fFRic,fFEve,CWMDisplay_size,CWMFlower_diameter,CWMFloral_depth,CWMPetal_width,CWMPetal_length,CWMStylus_length,CWMFilament_length,CWMNectar_depth,CWMNectar_width,CWMStylus_position,CWMFilament_position,CWMPlant_height,CWMFlower_inclination,CWMNumber_inflorescense,CWMNumber_flowers_per_inflo,fRaoQ,dis1fhyp,dis2fhyp,morfhyp,rewfhyp,necfhyp,dis3fhyp,dmfhyp,sinfhyp,afhyp,anfhyp,anifhyp
1181,1,1181.1,0.0883838383838384,1.82291666666667,4,6.57557046315276,0.0238917147678521,7.10312686307529,4.72597767615163,0.36554796068492,1179,0.751903866472552,0.624321697907852,1.84064211602793,0.771459698614847,1.05625911107356e-06,0.446644885567674,17.4425784055502,4.73117379739361,3.0550632413634,1.91483131461474,3.16954885663641,3.06461976394353,3.18361702943878,1.98034382198047,0.760917681256994,1.08473995076577,1.20425739417869,120.677895335052,152.346494694582,6.34742695378235,8.56932131656151,4.98123294331571,0.796592465791844,0.777575637082981,0.569489853304853,0.55466536974352,0.2660322638902,0.569489853304853,0.767787090997018,0.647751191386023,0.964714582540074,0.900637748712591,0.842160150147632
1181,2,1181.2,0.0887096774193548,1.98198198198198,1,8.44470748317231,0.0767936504510338,7.08181339605229,4.85621372091209,0.418164221388651,1181,0.775484176689412,0.668400613528954,2.28826202586208,0.632900829406247,6.98343148147737e-06,0.369095539014502,21.7608728237778,5.5432168298566,3.77466542142152,2.38508454064889,4.29515346236741,4.25894950320939,4.10749237979576,2.22740848060168,1.32183317376747,2.03292026169677,1.88325936755458,129.738612961037,131.032016031964,3.96211615959245,9.13182965484752,6.35826008150049,0.805769725005712,0.801152443183755,0.610535025888779,0.570034946193778,0.316460667021013,0.610535025888779,0.790080713027775,0.672242183567147,0.98615266715623,0.953626526110583,0.920882200165606
1181,3,1181.3,0.0975896531452087,1.62745098039216,2,6.20859094974523,0.186922457307812,8.68620213960988,4.63791625723764,0.495486105219028,1184,0.704886725530709,0.630609836721525,2.31666327529127,0.801083522680746,9.40941539682353e-09,0.348719374854662,17.5222064073382,6.29238657404042,2.87776827998943,2.72752370299929,3.7832996412226,3.46341653383713,3.17228020924132,1.44736583873868,1.02532572901058,2.01638021585623,1.72591515699646,100.965455839925,134.211663080449,3.64427767173498,7.97921182007671,6.29677108386951,0.741996706569993,0.732676417883048,0.578286894382084,0.557260210135392,0.325945502465354,0.578286894382084,0.717040474720621,0.666658068282969,0.973654399524221,0.924287097620284,0.865865732037116
1463,1,1463.1,0.098661028893587,2.35294117647059,1,4.89433397447241,0.0359314046144275,9.23474417637235,5.01648708286689,0.297830164991425,1460,0.751833875053274,0.577892393253818,2.77882495080405,0.809592407975459,6.15756299436622e-06,0.504906575586855,19.7203175011357,5.35758529472216,4.08537399395167,2.23095888538385,4.61945873210242,3.78829487857875,3.56374145641553,2.00799426874063,1.33457773906612,1.78081050892272,1.55678836765874,158.832960666064,150.140809002368,4.89166866349068,12.7776730623934,9.09779585046528,0.747960093666574,0.727207008164066,0.603972370799488,0.571380851200252,0.282274590740487,0.603972370799488,0.722441277061814,0.678480284312571,0.951526916717225,0.86639562299736,0.78238116908864
1463,2,1463.2,0.0901041666666667,1.8804347826087,1,4.88762505845383,0.074682744551235,3.60317997298716,2.52048058853675,0.525786063636947,1463,0.663352693517848,0.645502411136879,3.02243508089817,0.886779163768849,6.46789578460777e-06,0.569101658036845,20.2877157902351,5.60582074235087,3.91020540413141,2.41763632523542,4.5703316739768,3.61121015584676,3.6141660497687,1.90585689355486,0.743920387267624,1.70642981239026,1.71122013187837,151.073885591218,154.730342867113,5.51975705087471,12.9789814769107,11.0414424426681,0.695787801467467,0.675332132669546,0.55323007673814,0.522882279228189,0.248001947294374,0.55323007673814,0.663615470965342,0.620891634897693,0.941084752241307,0.845541303580775,0.747164615440882
1463,3,1463.3,0.118918918918919,1.26923076923077,2,8.26079845896657,0.221896416096297,7.53839217801154,3.95418616550962,0.381245615219527,1467,0.671633402089094,0.598052566220891,3.42359581144982,0.87367443690707,0.0174675248887244,0.593203731154409,30.5062916122044,4.97186764176947,6.49019429495444,1.98300180936614,6.51189674222127,5.67945443681882,5.8711885818618,3.19592818865093,0.429659037734045,2.4835262481679,2.67526039321087,375.883808051411,162.937618799886,4.41800358926266,35.1812350002238,12.7568277277657,0.679269434689993,0.605862389225635,0.494889619274528,0.5022228918913,0.222766445357994,0.494889619274528,0.600233050921628,0.571292498054098,0.962590139767778,0.879883573102831,0.797714019016327
1632,1,1632.1,0.132094943240454,1.72972972972973,1,9.73902919810654,0.130014940801066,5.10244126199949,3.33230827640943,0.281791387384812,1628,0.616602464762019,0.510783933167223,2.91987452861878,0.775888319197147,8.04355522611723e-06,0.535329197812646,36.8481482640177,11.5822069881371,7.00400222878038,6.00413766094359,8.06529710916815,4.06372243409082,4.84675440303208,0.943102346768553,0.326114830033416,3.12192661640962,3.9061532126414,282.906501006474,146.066306653868,2.56317652224396,6.29704032241924,10.6990669558243,0.705845918479732,0.676123667890637,0.476922936533281,0.432905960920143,0.234270040835466,0.476922936533281,0.638300207568643,0.559001806898411,0.953134092250383,0.86437611181669,0.7783764367415
1632,2,1632.2,0.125541125541126,1.78461538461538,2,8.85391419114148,0.0161876451862075,4.82448015560591,3.67266833018956,0.331270169254299,1632,0.635278469398425,0.540443903620615,3.11975683072207,0.793602731373281,1.53302324119821e-08,0.750110343115216,16.5168204757083,9.76259518561919,8.38337899680044,5.05819554948012,9.32372007284044,5.99332931891291,6.2938774126931,3.31137598163191,1.01239115886423,2.68272198350616,2.98471330660581,149.459025707527,145.470023460828,2.60069106499052,5.88365602056149,10.5594069675484,0.652604092391562,0.60019351896411,0.552971065930475,0.494903973612084,0.263839846594106,0.552971065930475,0.59073457549772,0.640541527978606,0.95031127162387,0.861690768837153,0.780598873963317
1632,3,1632.3,0.102745098039216,1.72368421052632,1,6.11653934468259,-0.0109081770718501,5.56348021056348,4.1052934882204,0.300573017914638,1636,0.786584976321468,0.564817047382626,3.06496220119571,0.793902432583789,1.22342435479539e-08,0.502788327547634,16.1105458457928,8.08936991764785,7.93662441851194,4.03788277782798,8.79413904448947,6.30186987130619,6.26374209457827,3.8592198563819,1.19468403644208,2.445928741723,2.39431829206798,130.520283622317,144.896436284541,2.93533733110203,6.94885395677106,10.497329417759,0.749494774816271,0.682750066865,0.749780234174909,0.680047795418996,0.424048324466918,0.749780234174909,0.704587927109619,0.840487073087248,0.962256015963121,0.898138032083195,0.836251709289775
1860,1,1860.1,0.114406779661017,1.95180722891566,1,7.91494332673858,0.0942564557255483,6.20068497513871,4.2221841407512,0.351570378732107,1856,0.852904189625438,0.744927267490314,2.56140550494302,0.760378336255779,3.94418150771057e-07,0.515144577611284,18.9793953295869,8.11799618298446,4.9529091874443,3.66150138817869,5.62202207536875,3.68262187397815,3.62143343707856,1.78394752032755,1.13616518590407,1.8986743536506,1.83748591675101,155.90757364186,145.484448911836,4.58526020164979,6.96768043385153,7.45197865434237,0.835025244448572,0.779176661062717,0.775973820783683,0.709386445267156,0.401447261543425,0.775973820783683,0.766928972260054,0.880642622040564,0.940558190917906,0.83673451093729,0.732962902488615
